ID варианта,Название товара,Цена продажи,Параметр: Статус у поставщика
532776502,Нож Artisan Cutlery 1702PS-CF Tradition,5830.0,true
532479105,Нож Artisan Cutlery 1703P-CF Littoral,11160.0,true
532383149,Нож Artisan Cutlery 1703G-GY Littoral,18880.0,true
533043607,Нож Artisan Cutlery 1706P-BK Predator,5570.0,true
532783049,Нож Artisan Cutlery 1707PS-CF Shark,5830.0,true
532760078,Нож Artisan Cutlery 1802P-BKC Classic,5920.0,true
532476309,Нож Artisan Cutlery 1802GD-GN Classic,15110.0,true
532473434,Нож Artisan Cutlery 1802GD-BR Classic,15110.0,true
532396744,Нож Artisan Cutlery 1805G-GYS S Waistline,18880.0,true
533049033,Нож Artisan Cutlery 1807P-GNF Virgina,5230.0,true
532479651,Нож Artisan Cutlery 1807G-BWS Virgina,10810.0,true
532768842,Нож Artisan Cutlery 1807P-BW Virgina,5920.0,true
532479433,Нож Artisan Cutlery 1807G-BRS Virgina,10810.0,true
532774572,Нож Artisan Cutlery 1810P-GNC Hornet,5920.0,true
532397851,Нож Artisan Cutlery 1810G-BKS Hornet,18880.0,true
532413841,Нож Artisan Cutlery 1810G-GYS Hornet,18880.0,true
532621278,Нож Artisan Cutlery 1820P-GNF Proponent,6910.0,true
532618578,Нож Artisan Cutlery 1820P-CF Proponent,7340.0,true
532287065,Нож Artisan Cutlery 1820G-GYS Proponent,21460.0,true
532784507,Нож Artisan Cutlery 1821P-BKF Archaeo,5810.0,true
532786858,Нож Artisan Cutlery 1821P-GNF Archaeo,5810.0,true
532787742,Нож Artisan Cutlery 1821P-OEF Archaeo,5810.0,true
532382759,Нож Artisan Cutlery 1826G-BKS Pangolin,19960.0,true
532381930,Нож Artisan Cutlery 1839G-DCF Centauri,20160.0,true
532382366,Нож Artisan Cutlery 1843G-DRC Arion,20160.0,true
533052318,Нож Artisan Cutlery 1845P-GYF Arroyo,4630.0,true
533051213,Нож Artisan Cutlery 1845P-NTG Arroyo,4630.0,true
532627536,Нож Artisan Cutlery 1845P-ODG Arroyo,6640.0,true
532615485,Нож Artisan Cutlery 1848P-ODG Cazador,8640.0,true
532477717,Нож Artisan Cutlery 1849P-BODG Sirius,12960.0,true
532626138,Нож Artisan Cutlery 1849P-BBK Sirius,7050.0,true
